Unnamed: 0,rank_date,title,rank,author,full_price,selling_price,category,publisher,available?
38,2021-09-27,ตัวร้ายอย่างข้า...จะหนีเอาตัวรอดยังไงดี เล่ม 1,51.0,โม่เซียงถงซีว,399.0,319.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
39,2021-09-27,สัญญาณเตือนตาย เล่ม 3,53.0,โจวเฮ่าฮุย,365.0,274.0,Books/นิยายแปล/นิยายแปล,แพรวสำนักพิมพ์,Add to Cart
40,2021-09-27,โปรดโอบกอดมนุษย์ลูก,54.0,วีรพร นิติประภา,240.0,204.0,Books/แม่และเด็ก/คู่มือดูแลครรภ์ การเลี้ยงดูเด็ก,SandClock Books,Add to Cart
41,2021-09-27,กฎ 3 ข้อของการผลิตโชคด้วยตัวคุณเอง,55.0,"Jonas Koffler,Neil Patel,Patrick Vlaskov",275.0,233.75,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Add to Cart
42,2021-09-27,ข้าเป็นสัตว์เลี้ยงของศาลต้าหลี่ เล่ม 5,57.0,โม่ซั่งเหรินหรูอวี้,499.0,424.15,Books/นิยายแปล/นิยายจีนแปล,แจ่มใส,Add to Cart
43,2021-09-27,(รัก) ยิ้มของเธอ เล่ม 2,58.0,ชิงเหม่ย,335.0,268.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
44,2021-09-27,(รัก) ยิ้มของเธอ เล่ม 1,59.0,ชิงเหม่ย,335.0,268.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
45,2021-09-27,เกมลวงโลก,61.0,โอะคะจิมะ ฟุตะริ,295.0,148.0,Books/นิยายแปล/นิยายแปล,แพรวสำนักพิมพ์,Add to Cart
46,2021-09-27,ทำงานยังไงไม่ให้เหนื่อยคนเดียว,62.0,Kim Seong Ho (คิมซองโฮ),245.0,208.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Add to Cart
47,2021-09-27,โฟร์ (FOUR : A Divergent Collection),63.0,เวอโรนิก้า รอธ,165.0,83.0,Books/นิยาย/นิยายแฟนตาซี,Spell,Add to Cart
48,2021-09-27,TINY HABITS เปลี่ยนน้อยนิดเพื่อพิชิตทุกเป้าหมาย,65.0,ดร.บีเจ ฟ็อกก์,395.0,335.75,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Add to Cart
49,2021-09-27,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 2,66.0,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),385.0,327.25,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
